iter	Passed	Remaining
404	5949	8740
405	5961	8721
406	5973	8704
407	5984	8682
408	5995	8663
409	6008	8645
410	6019	8625
411	6031	8608
412	6043	8589
413	6056	8573
414	6068	8554
415	6080	8536
416	6094	8520
417	6106	8502
418	6117	8482
419	6130	8465
420	6143	8448
421	6156	8432
422	6167	8412
423	6179	8394
424	6191	8376
425	6203	8359
426	6214	8339
427	6225	8320
428	6236	8301
429	6246	8280
430	6258	8261
431	6270	8243
432	6280	8223
433	6291	8204
434	6303	8187
435	6314	8168
436	6326	8151
437	6338	8132
438	6351	8117
439	6362	8097
440	6376	8082
441	6388	8064
442	6398	8045
443	6411	8028
444	6422	8009
445	6434	7993
446	6446	7975
447	6457	7957
448	6469	7939
449	6481	7921
450	6492	7902
451	6503	7884
452	6515	7867
453	6525	7848
454	6537	7830
455	6548	7812
456	6558	7792
457	6569	7774
458	6580	7756
459	6591	7737
460	6602	7719
461	6613	7701
462	6624	7683
463	6635	7665
464	6647	7648
465	6657	7629
466	6671	7613
467	6684	7598
468	6699	7584
469	6714	7572
470	6727	7556
471	6742	7541
472	6755	7526
473	6771	7513
474	6782	7496
475	6793	7478
476	6804	7461
477	6815	7443
478	6825	7424
479	6837	7407
480	6850	7391
481	6862	7374
482	6874	7357
483	6886	7341
484	6898	7325
485	6909	7307
486	6920	7290
487	6932	7273
488	6944	7256
489	6954	7238
490	6965	7220
491	6976	7203
492	6986	7185
493	6998	7168
494	7010	7152
495	7020	7133
496	7032	7117
497	7044	7101
498	7056	7084
499	7067	7067
500	7078	7050
501	7088	7031
502	7100	7015
503	7122	7009
504	7142	7000
505	7156	6986
506	7167	6969
507	7178	6952
508	7190	6936
509	7200	6917
510	7211	6901
511	7223	6885
512	7234	6867
513	7245	6850
514	7257	6834
515	7267	6816
516	7278	6799
517	7290	6784
518	7301	6766
519	7313	6751
520	7324	6734
521	7336	6718
522	7347	6701
523	7359	6685
524	7371	6669
525	7382	6652
526	7393	6636
527	7407	6622
528	7422	6608
529	7439	6596
530	7457	6586
531	7475	6576
532	7491	6563
533	7506	6550
534	7525	6540
535	7539	6526
536	7554	6513
537	7569	6500
538	7579	6482
539	7591	6467
540	7602	6450
541	7613	6433
542	7626	6418
543	7638	6402
544	7649	6386
545	7661	6370
546	7673	6354
547	7686	6340
548	7698	6324
549	7708	6307
550	7720	6291
551	7732	6275
552	7742	6258
553	7754	6242
554	7766	6226
555	7776	6210
556	7788	6194
557	7800	6178
558	7812	6163
559	7823	6147
560	7834	6130
561	7845	6114
562	7855	6097
563	7866	6081
564	7879	6066
565	7888	6049
566	7900	6033
567	7911	6017
568	7921	6000
569	7932	5984
570	7942	5967
571	7954	5952
572	7965	5935
573	7976	5919
574	7986	5903
575	7998	5887
576	8009	5871
577	8019	5855
578	8031	5839
579	8043	5824
580	8054	5808
581	8065	5792
582	8077	5777
583	8087	5761
584	8099	5745
585	8111	5730
586	8122	5714
587	8136	5700
588	8147	5685
589	8158	5669
590	8170	5654
591	8184	5640
592	8196	5625
593	8209	5611
594	8219	5595
595	8231	5580
596	8243	5564
597	8254	5548
598	8265	5533
599	8277	5518
600	8289	5503
601	8300	5487
602	8311	5471
603	8322	5456
604	8334	5441
605	8346	5426
606	8359	5412
607	8371	5397
608	8381	5381
609	8394	5366
610	8406	5352
611	8417	5336
612	8429	5321
613	8442	5307
614	8453	5292
615	8468	5278
616	8483	5266
617	8500	5254
618	8515	5241
619	8534	5230
620	8549	5217
621	8563	5204
622	8579	5191
623	8593	5178
624	8610	5166
625	8627	5154
626	8643	5142
627	8660	5130
628	8675	5117
629	8690	5104
630	8706	5091
631	8720	5077
632	8738	5066
633	8751	5052
634	8764	5037
635	8779	5024
636	8793	5010
637	8808	4997
638	8822	4984
639	8838	4971
640	8853	4958
641	8869	4945
642	8886	4933
643	8899	4919
644	8912	4905
645	8927	4892
646	8942	4878
647	8955	4864
648	8970	4851
649	8985	4838
650	8999	4824
651	9011	4809
652	9026	4796
653	9041	4783
654	9055	4769
655	9069	4756
656	9085	4743
657	9100	4729
658	9110	4714
659	9124	4700
660	9142	4688
661	9156	4675
662	9170	4661
663	9186	4648
664	9201	4635
665	9216	4621
666	9228	4607
667	9241	4592
668	9257	4580
669	9273	4567
670	9289	4554
671	9305	4541
672	9319	4528
673	9333	4514
674	9347	4500
675	9361	4486
676	9377	4474
677	9389	4459
678	9403	4445
679	9421	4433
680	9436	4420
681	9449	4406
682	9464	4392
683	9478	4379
684	9494	4365
685	9506	4351
686	9519	4337
687	9535	4324
688	9550	4310
689	9565	4297
690	9579	4283
691	9593	4270
692	9607	4256
693	9620	4241
694	9634	4227
695	9646	4213
696	9660	4199
697	9674	4185
698	9685	4170
699	9701	4157
700	9716	4144
701	9730	4130
702	9746	4117
703	9761	4104
704	9775	4090
705	9790	4077
706	9805	4063
707	9817	4049
708	9830	4034
709	9842	4020
710	9855	4005
711	9866	3990
712	9878	3976
713	9890	3961
714	9902	3947
715	9912	3931
716	9926	3917
717	9937	3903
718	9948	3888
719	9960	3873
720	9972	3858
721	9983	3844
722	9993	3828
723	10005	3814
724	10018	3800
725	10029	3785
726	10042	3771
727	10055	3756
728	10067	3742
729	10077	3727
730	10089	3712
731	10102	3698
732	10112	3683
733	10124	3669
734	10137	3654
735	10149	3640
736	10160	3625
737	10172	3611
738	10184	3596
739	10195	3582
740	10205	3567
741	10217	3552
742	10229	3538
743	10240	3523
744	10252	3509
745	10264	3495
746	10275	3480
747	10288	3466
748	10299	3451
749	10312	3437
750	10324	3423
751	10335	3408
752	10349	3394
753	10360	3380
754	10371	3365
755	10383	3351
756	10395	3337
757	10407	3322
758	10419	3308
759	10431	3294
760	10441	3279
761	10453	3265
762	10465	3250
763	10477	3236
764	10488	3221
765	10497	3206
766	10510	3192
767	10520	3178
768	10532	3163
769	10544	3149
770	10555	3135
771	10567	3120
772	10579	3106
773	10590	3092
774	10600	3077
775	10611	3063
776	10622	3048
777	10634	3034
778	10647	3020
779	10659	3006
780	10670	2992
781	10683	2978
782	10696	2964
783	10709	2950
784	10720	2936
785	10733	2922
786	10745	2908
787	10757	2894
788	10767	2879
789	10779	2865
790	10792	2851
791	10803	2837
792	10814	2822
793	10826	2808
794	10839	2795
795	10850	2780
796	10861	2766
797	10873	2752
798	10885	2738
799	10897	2724
800	10908	2710
801	10921	2696
802	10932	2681
803	10944	2668
804	10955	2653
805	10966	2639
806	10978	2625
807	10990	2611
808	11003	2597
809	11013	2583
810	11026	2569
811	11038	2555
812	11049	2541
813	11061	2527
814	11072	2513
815	11088	2500
816	11101	2486
817	11112	2472
818	11124	2458
819	11137	2444
820	11151	2431
821	11162	2417
822	11175	2403
823	11187	2389
824	11201	2376
825	11214	2362
826	11229	2349
827	11243	2335
828	11257	2322
829	11271	2308
830	11287	2295
831	11301	2282
832	11313	2268
833	11326	2254
834	11340	2240
835	11353	2227
836	11367	2213
837	11380	2200
838	11393	2186
839	11408	2173
840	11422	2159
841	11435	2145
842	11450	2132
843	11468	2119
844	11484	2106
845	11499	2093
846	11511	2079
847	11522	2065
848	11534	2051
849	11547	2037
850	11557	2023
851	11569	2009
852	11584	1996
853	11619	1986
854	11634	1973
855	11650	1959
856	11663	1946
857	11681	1933
858	11704	1921
859	11731	1909
860	11750	1896
861	11766	1883
862	11786	1871
863	11799	1857
864	11812	1843
865	11827	1830
866	11838	1816
867	11851	1802
868	11864	1788
869	11877	1774
870	11892	1761
871	11903	1747
872	11915	1733
873	11928	1719
874	11941	1705
875	11953	1691
876	11965	1678
877	11977	1664
878	11989	1650
879	11999	1636
880	12011	1622
881	12024	1608
882	12035	1594
883	12047	1580
884	12060	1567
885	12073	1553
886	12084	1539
887	12096	1525
888	12108	1511
889	12120	1498
890	12131	1484
891	12142	1470
892	12154	1456
893	12166	1442
894	12177	1428
895	12190	1414
896	12200	1400
897	12214	1387
898	12225	1373
899	12237	1359
900	12248	1345
901	12260	1332
902	12272	1318
903	12288	1304
904	12301	1291
905	12312	1277
906	12323	1263
907	12338	1250
908	12351	1236
909	12362	1222
910	12375	1209
911	12388	1195
912	12400	1181
913	12410	1167
914	12424	1154
915	12436	1140
916	12447	1126
917	12471	1114
918	12494	1101
919	12511	1087
920	12535	1075
921	12557	1062
922	12571	1048
923	12584	1035
924	12596	1021
925	12607	1007
926	12619	993
927	12632	980
928	12643	966
929	12656	952
930	12701	941
931	12736	929
932	12756	916
933	12781	903
934	12792	889
935	12805	875
936	12817	861
937	12829	848
938	12840	834
939	12852	820
940	12865	806
941	12877	792
942	12888	779
943	12899	765
944	12912	751
945	12923	737
946	12935	723
947	12948	710
948	12960	696
949	12972	682
950	12984	669
951	12996	655
952	13007	641
953	13019	627
954	13032	614
955	13045	600
956	13055	586
957	13067	572
958	13079	559
959	13091	545
960	13103	531
961	13115	518
962	13128	504
963	13137	490
964	13151	476
965	13166	463
966	13179	449
967	13193	436
968	13204	422
969	13216	408
970	13228	395
971	13240	381
972	13252	367
973	13263	354
974	13285	340
975	13332	327
976	13358	314
977	13378	300
978	13401	287
979	13419	273
980	13432	260
981	13445	246
982	13458	232
983	13473	219
984	13484	205
985	13496	191
986	13510	177
987	13524	164
988	13537	150
989	13548	136
990	13560	123
991	13573	109
992	13584	95
993	13595	82
994	13607	68
995	13620	54
996	13630	41
997	13643	27
998	13654	13
999	13666	0
