iter	Logloss
0	0.6701758644
1	0.6497753861
2	0.6325035282
3	0.6176771709
4	0.6054212208
5	0.5949893639
6	0.5858086349
7	0.578186288
8	0.5719297713
9	0.5663345809
10	0.5616848193
11	0.5576381367
12	0.5544522081
13	0.5514170753
14	0.5489585085
15	0.5468714584
16	0.5450919001
17	0.5435066638
18	0.5421442119
19	0.5409529727
20	0.5399010786
21	0.5389704792
22	0.5381514317
23	0.5375172961
24	0.5370049987
25	0.5364656218
26	0.5359792196
27	0.5355852654
28	0.5352399451
29	0.5349387491
30	0.5346658623
31	0.5344255954
32	0.5342222061
33	0.5339838593
34	0.5338111297
35	0.5336735228
36	0.5335076069
37	0.5333776171
38	0.5332601881
39	0.5331542447
40	0.5330592062
41	0.5329712531
42	0.5328975426
43	0.5328258323
44	0.5327782349
45	0.5327113465
46	0.532655834
47	0.5325817254
48	0.5325156255
49	0.5324520584
50	0.5323948487
51	0.5323035989
52	0.5322652704
53	0.5322185768
54	0.5321606766
55	0.5321041661
56	0.5320688135
57	0.5320198641
58	0.5319864536
59	0.5319424156
60	0.5318694611
61	0.5318181981
62	0.5317799548
63	0.5317574756
64	0.5317274377
65	0.5316963436
66	0.5316581558
67	0.5316379705
68	0.5315809161
69	0.5315476238
70	0.5315004242
71	0.5314575848
72	0.5313731844
73	0.5313456365
74	0.5313052694
75	0.5312251001
76	0.5311748232
77	0.5311417244
78	0.5311064827
79	0.5310735618
80	0.5310453617
81	0.5309524192
82	0.53088877
83	0.5308579064
84	0.5308006277
85	0.5307622536
86	0.5307186376
87	0.5306984031
88	0.5306577703
89	0.5306379629
90	0.5305961628
91	0.530529858
92	0.5305074987
93	0.5304851009
94	0.5304670996
95	0.5304093753
96	0.5303762424
97	0.53037497
98	0.5303490303
99	0.5303132866
100	0.5302804432
101	0.5302475928
102	0.5302367352
103	0.5301913318
104	0.5301689063
105	0.5301585449
106	0.5301361495
107	0.5300793123
108	0.5300541161
109	0.5300248472
110	0.5299879652
111	0.5299579578
112	0.5299339966
113	0.5299403267
114	0.5299070605
115	0.529879218
116	0.5298486211
117	0.5298334258
118	0.5298102701
119	0.5297807147
120	0.5297434101
121	0.5297084092
122	0.5297083085
123	0.5296644833
124	0.5296542439
125	0.5296252616
126	0.5296110492
127	0.5295772568
128	0.5295681188
129	0.5295657475
130	0.5295390381
131	0.5295265633
132	0.5295166568
133	0.5294553617
134	0.529418447
135	0.5293972288
136	0.5293756831
137	0.5293559593
138	0.5293473765
139	0.529295105
140	0.5292852795
141	0.5292364178
142	0.5292100667
143	0.5291909829
144	0.5291649844
145	0.5291391168
146	0.529086747
147	0.529056853
148	0.5290295538
149	0.5290175376
150	0.5289711764
151	0.528944714
152	0.5288713243
153	0.528826962
154	0.5287633692
155	0.5287242492
156	0.5287062024
157	0.528658752
158	0.5286360773
159	0.5286069236
160	0.5285902579
161	0.5285393835
162	0.5285002413
163	0.5284811935
164	0.5284413087
165	0.5283961055
166	0.528350852
167	0.5283042386
168	0.5282751693
169	0.5282073359
170	0.5281779257
171	0.5281503667
172	0.5280959572
173	0.5280631358
174	0.5279990621
175	0.52794704
176	0.527919223
177	0.5278687118
178	0.5278149562
179	0.527781705
180	0.5277569607
181	0.5277380946
182	0.5277039591
183	0.5276803288
184	0.5276320778
185	0.5275770732
186	0.5275025532
187	0.5274551272
188	0.5274355335
189	0.5274019061
190	0.5273545592
191	0.5273133911
192	0.52729424
193	0.5272614028
194	0.5271960005
195	0.5271328939
196	0.5271190666
197	0.5270908199
198	0.5270594917
199	0.5270274559
200	0.5269886675
201	0.5269153535
202	0.5268913976
203	0.5268658087
204	0.5268142484
205	0.5267698413
206	0.5267383952
207	0.5266785559
208	0.5266557523
209	0.5266256561
210	0.5265784737
211	0.5265149368
212	0.5264711617
213	0.5264271013
214	0.5263814703
